content,score,cleaned_content,sentiment
ok,5,oke,positif
"Kita pengen tokopedia yg dulu, tokopedia gausah di gabung²in sama tiktok shop bikin ribet bikin kecewa, saya yakin yg kecewa bukan cuma saya pasti yg pindah ke aplikasi sebelah jga banyak, karna di tokopedia ngcewain banget",1,tokopedia yg tokopedia gausah gabung in tiktok shop bikin ribet bikin kecewa yg kecewa yg pindah aplikasi belah karna tokopedia ngcewain banget,negatif
terbaik,5,baik,netral
"Setiap bulan saya pesan brang ditokopedia selalu sja ada barang yg dtangny 3 minggu, sudah pake layanan komplain admin pun tidak serius menanggapi...klo trus bgn sya akan uninstal in aplikasi",1,pesan brang ditokopedia sja barang yg dtangny minggu pake layan komplain admin serius menanggapiklo trus bgn sya uninstal in aplikasi,negatif
"aplikasi paling rajin update sedunia,seminggu sekali pasti update",1,aplikasi rajin update seduniaseminggu update,negatif
Sangat membantu saya,5,bantu,netral
"aplikasi ini bagus, mitra tokopedia jg bagus .. tolong di adain lagi apk mitratokopedia.",5,aplikasi bagus mitra tokopedia bagus tolong adain apk mitratokopedia,negatif
diskonya gk ada ...klo ada gk bs digunakn...hadeeehh...,1,disko digunaknhadeeehh,netral
kak bagai mana cara membuka kembali akun yang di hapus secara mandir??...,5,kak buka akun hapus mandir,negatif
"bagus kalo di tambahin catatan untuk kurir, agar kalau terjadi perubahan posisi/penerima cepat di tahu oleh kurir.",5,bagus kalo tambahin catat kurir ubah posisipenerima cepat kurir,netral
"Uda paling bener di sopi, ongkir banyak free voucher banyak, disini kaga ada apa"" beli Ampe 6jt aja diskon cuma 25 rebu perak, mahalan biaya packing Ama diskon",1,uda bener sopi ongkir free voucher kaga beli ampe jt aja diskon rebu perak mahal biaya packing ama diskon,positif
kerenn bangeet,5,kerenn bangeet,netral
Murah dapat dipercaya,5,murah percaya,positif
Aneh. barang udh di keranjang dpt diskon. eh pas checkout koq ga dpt diskon sih?,1,aneh barang keranjang dpt diskon eh pas checkout dpt diskon sih,positif
"Ribet banget mau belanja harus ke web dulu, kan udah ada produk minimal 21+ tahun. Ngapain harus ke web lagi kocak",1,ribet banget belanja web produk minimal ngapain web kocak,negatif
saya suka belanja di tokopedia harga nya yg aku suka pelayanan nya bagus 👍,5,suka belanja tokopedia harga nya yg suka layan nya bagus,positif
sangat membantu,5,bantu,netral
"Tokopedia banyak minesnya yah sekarang - Ongkir Nya Ga Ngotak ( Alias Mahal ) - Vouher ada cuma percuma dipakai gaguna ( Gabisa Dipakai Walupun Ada ) - mau return gabisa kadang harus acc situ sini ( mending apk shopee enak ) - mau beli barang yang datang barang lain ( mudah kena tipu hati"" ) Nih sebenernya apk gada proteksi sama sekali yah?",1,tokopedia mes yah ongkir nya ngotak alias mahal vouher pakai gaguna gabisa pakai walupun return gabisa kadang acc situ mending apk shopee enak beli barang barang mudah kena tipu hati nih sebenernya apk gada proteksi yah,positif
banyak toko elektronik abal² bermunculan sekarang parah padahal senang belanja di sini,3,toko elektronik abal muncul parah senang belanja,negatif
"pake vocer juga tetep harga pasaran, kaya ga guna vocernya",1,pake vocer tetep harga pasar kaya vocernya,positif
GABUNG SAMA TIKTOK MALAH KEK TAIII!!!!,1,gabung tiktok kek taiii,negatif
"KEMBALIKAN MENU TOPED YANG DULU.... - ZOOM IN TIDAK BISA KETUK 2X, HARUS PAKE 2 JARI UNTUK ZOOM IN DAN HARUS 2 JARI JUGA UTK MENGGESER² GAMBAR YG DI ZOOM IN - FILTER SEARCHING EXPEDISI, SEKARANG TIDAK ADA - MENU SERING BERUBAH UBAH TEMPATNYA (BIKIN BINGUNG) - CHAT MENU BALAS HILANG, HANYA TINGGAL MENU SALIN SAJA - FITUR BLOKIR PENJUAL HILANG, KENAPA ? - SEKARANG PEMBAYARAN TIDAK BISA DIGABUNG ? GOPAY + TRANSFER ATAU SALDO TOPED + GOPAY - MASIH ADA BBRP LAGI TAPI SAAT INI SAYA LUPA.",5,kembali menu toped zoom in ketuk x pake jari zoom in jari utk geser gambar yg zoom in filter searching expedisi menu ubah ubah tempat bikin bingung chat menu balas hilang tinggal menu salin fitur blokir jual hilang bayar gabung gopay transfer saldo toped gopay bbrp lupa,negatif
"katanya setelah spin dpt kupon 250ribu syarat co 2 barang, setelah di co ternyata kupon tidak bisa digunakan, ketipu gua 🤣 kalau ada lagi ogah ikut 👎",2,spin dpt kupon ribu syarat co barang co kupon tipu gua ogah,netral
bagus,5,bagus,netral
good,5,good,positif
bagus,5,bagus,netral
sangat bagus dan membantu karna harga yg lebih murah dan bisa mencari pa jah tinggal pencet doang,5,bagus bantu karna harga yg murah cari pa jah tinggal pencet doang,negatif
"Aplikasi nya benerin apa,busuk amat,serba eror,. semuanya ngawur banget kupon diskon berjejer di deretan kupon yg bisa dipakai,tapi tidak ada satupun keterangan soal dimana voucher diskon itu bisa digunakan,ini aplikasi nya yang SAMPAH atau memang tidak niat promosi,..lebih baik tidak usah kasih voucher diskon ini itu,jika tidak diberi keterangan untuk toko atau jenis barang apa saja,.. bukan malah diisi keterangan ""toko tertentu""saja...memang nya kita peramal....Makin gak jelas aja ini aplikasi",1,aplikasi nya benerin apabusuk amatserba eror ngawur banget kupon diskon jejer deret kupon yg dipakaitapi satu terang mana voucher diskon digunakanini aplikasi nya sampah niat promosilebih kasih voucher diskon itujika terang toko jenis barang isi terang toko tertentusajamemang nya peramalmakin aja aplikasi,positif
makin gajelas,1,gajelas,netral
mantap,5,mantap,positif
"Aplikasi belanja online terbagus buatku, Harga terjangkau, Dan sangat ringan di ponsel lamaku.",5,aplikasi belanja online bagus buat harga jangkau ringan ponsel lama,netral
wow hebat,5,wow hebat,netral
"Sekarang aplikasi ini sudah semakin buruk. Tidak bisa melihat detail pesanan. Dan saya curiga bahwa seller tidak diberitahu bila ada order yang masuk. Karena meskipun tertulis ""diproses"" tetapi pesanan tidak bergerak sama sekali hingga dibatalkan by system hal ini sudah cukup lama",2,aplikasi buruk detail pesan curiga seller diberitahu order masuk tulis proses pesan gerak batal by system,negatif
